idna_subject,checker_type,destination,tested_at
ebayit-dp.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:25.883572
scrollingads.hustlermegapass.com,AVAILABILITY,origin.list,2022-12-10 06:59:25.908321
asqcondenast.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:25.944586
asqrtl.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:25.950719
a.cdn.intentmedia.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.240052
axdget-sync.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.776416
lpm-francetv.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.805329
lpm-tf1.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.827172
abcno.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.833709
lokalavisendk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:26.955715
naftemporiki.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:27.673238
mediamond.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:27.699710
om.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:27.729890
ri.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:27.754284
tuno.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:27.785762
tv2dk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:28.496589
adcloud-dp.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:28.555352
n24se.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:28.570740
websystem24.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:28.604095
adselect.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:29.281910
gwp.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:29.313273
bei.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:29.348602
asqlesechos.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:29.373151
ad.wingads.com,AVAILABILITY,origin.list,2022-12-10 06:59:29.787014
asqnext.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:29.995713
berldk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.062721
derstandard.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.102079
ip.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.373026
dbadk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.610800
jpdk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.667323
mtv.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.704443
msnad.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:30.953742
nettno.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:31.237031
oms.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:31.301879
poldk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:31.360322
wwv.onetad.com,AVAILABILITY,origin.list,2022-12-10 06:59:31.416202
si.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:31.575114
jobzdk.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:31.865839
krone.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.068386
rmsi.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.135750
nuggad.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.139524
survey.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.186174
yahoo.nuggad.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.479805
om.businessweek.com,AVAILABILITY,origin.list,2022-12-10 06:59:32.751208
www.pdf-platinum.info,AVAILABILITY,origin.list,2022-12-10 06:59:32.842345
metrics.doctoroz.com,AVAILABILITY,origin.list,2022-12-10 06:59:32.889452
adwords2.paretologic.revenuewire.net,AVAILABILITY,origin.list,2022-12-10 06:59:32.895110
cache.gfrevenge.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.063013
stats.examiner.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.352079
metrics.bitdefender.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.445681
ads.jiwire.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.543836
omni.sportingnews.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.636915
ccc00.opinionlab.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.687676
d.adgear.com,AVAILABILITY,origin.list,2022-12-10 06:59:33.971606
o.adgear.com,AVAILABILITY,origin.list,2022-12-10 06:59:34.099674
dcs.netbiscuits.net,AVAILABILITY,origin.list,2022-12-10 06:59:34.263662
ww14.smartadserver.com,AVAILABILITY,origin.list,2022-12-10 06:59:34.320643
in.cybererotica.com,AVAILABILITY,origin.list,2022-12-10 06:59:34.694964
in.joinourwebsite.com,AVAILABILITY,origin.list,2022-12-10 06:59:34.936229
ua.badongo.com,AVAILABILITY,origin.list,2022-12-10 06:59:34.990585
analytics.safelinking.net,AVAILABILITY,origin.list,2022-12-10 06:59:35.142632
forexadv.eu,AVAILABILITY,origin.list,2022-12-10 06:59:35.543527
www.naughty-traffic.com,AVAILABILITY,origin.list,2022-12-10 06:59:35.543738
promo.worldprofitcenter.com,AVAILABILITY,origin.list,2022-12-10 06:59:35.770600
partners.badongo.com,AVAILABILITY,origin.list,2022-12-10 06:59:35.909128
www.admixxer.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.187391
c.chango.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.334744
dnetshelter3.d.chango.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.462155
d.chango.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.774765
members.commissionmonster.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.813546
analytics.bigcommerce.com,AVAILABILITY,origin.list,2022-12-10 06:59:36.923361
banners.mynakedweb.com,AVAILABILITY,origin.list,2022-12-10 06:59:37.041521
ads.eu.e-planning.net,AVAILABILITY,origin.list,2022-12-10 06:59:37.444887
click.interactivebrands.com,AVAILABILITY,origin.list,2022-12-10 06:59:37.565881
ad.looktraffic.com,AVAILABILITY,origin.list,2022-12-10 06:59:37.705801
safepay2.interactivebrands.com,AVAILABILITY,origin.list,2022-12-10 06:59:38.036893
ads.canalblog.com,AVAILABILITY,origin.list,2022-12-10 06:59:38.374480
bannerlink.xxxtreams.com,AVAILABILITY,origin.list,2022-12-10 06:59:38.514877
textads.sexmoney.com,AVAILABILITY,origin.list,2022-12-10 06:59:39.282022
clicks3.traffictrader.net,AVAILABILITY,origin.list,2022-12-10 06:59:39.319114
clicks2.traffictrader.net,AVAILABILITY,origin.list,2022-12-10 06:59:39.576196
ads.harpers.org,AVAILABILITY,origin.list,2022-12-10 06:59:39.937244
www.xclicks.net,AVAILABILITY,origin.list,2022-12-10 06:59:40.203266
clicks.traffictrader.net,AVAILABILITY,origin.list,2022-12-10 06:59:40.534390
engine.rbc.medialand.ru,AVAILABILITY,origin.list,2022-12-10 06:59:40.849037
bannerrotation.sexmoney.com,AVAILABILITY,origin.list,2022-12-10 06:59:40.954006
ad4.gueb.com,AVAILABILITY,origin.list,2022-12-10 06:59:41.103845
ad7.gueb.com,AVAILABILITY,origin.list,2022-12-10 06:59:41.415678
pagepeels.sexmoney.com,AVAILABILITY,origin.list,2022-12-10 06:59:41.902177
click.sexmoney.com,AVAILABILITY,origin.list,2022-12-10 06:59:42.130921
clicks.eutopia.traffictrader.net,AVAILABILITY,origin.list,2022-12-10 06:59:42.529912
landings.trafficz.com,AVAILABILITY,origin.list,2022-12-10 06:59:42.550757
landing.trafficz.com,AVAILABILITY,origin.list,2022-12-10 06:59:42.690868
cyclops.prod.untd.com,AVAILABILITY,origin.list,2022-12-10 06:59:43.273833
imageads.sexmoney.com,AVAILABILITY,origin.list,2022-12-10 06:59:43.327456
network.clickconversion.net,AVAILABILITY,origin.list,2022-12-10 06:59:43.374859
krs.ymxpb.com,AVAILABILITY,origin.list,2022-12-10 06:59:44.001645
tracking.gajmp.com,AVAILABILITY,origin.list,2022-12-10 06:59:44.010995
mp.apmebf.com,AVAILABILITY,origin.list,2022-12-10 06:59:44.098315
jsn.dt00.net,AVAILABILITY,origin.list,2022-12-10 06:59:44.725727
advert.ru.redtram.com,AVAILABILITY,origin.list,2022-12-10 06:59:44.967600
n4p.ru.redtram.com,AVAILABILITY,origin.list,2022-12-10 06:59:44.990666
stat.delo.ua,AVAILABILITY,origin.list,2022-12-10 06:59:45.383808
sdc.sanofi-aventis.us,AVAILABILITY,origin.list,2022-12-10 06:59:45.522472
www.yourlustmedia.com,AVAILABILITY,origin.list,2022-12-10 06:59:45.580593
ph-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 06:59:45.908671
au-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 06:59:46.060420
img.jizzads.com,AVAILABILITY,origin.list,2022-12-10 06:59:46.179835
id.get35.com,AVAILABILITY,origin.list,2022-12-10 06:59:46.473033
www.yourstats.net,AVAILABILITY,origin.list,2022-12-10 06:59:46.667558
tracking.adultsense.com,AVAILABILITY,origin.list,2022-12-10 06:59:46.755673
t.bbtrack.net,AVAILABILITY,origin.list,2022-12-10 06:59:47.090272
www.imiclk.com,AVAILABILITY,origin.list,2022-12-10 06:59:47.231718
dc.bizjournals.com,AVAILABILITY,origin.list,2022-12-10 06:59:47.358209
adssrv.nationmultimedia.com,AVAILABILITY,origin.list,2022-12-10 06:59:47.674269
nz-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 06:59:47.885345
www.sq2trk2.com,AVAILABILITY,origin.list,2022-12-10 06:59:48.152775
cookie.monster.com,AVAILABILITY,origin.list,2022-12-10 06:59:48.265866
adclient.uimserv.net,AVAILABILITY,origin.list,2022-12-10 06:59:48.493508
pqwaker.altervista.org,AVAILABILITY,origin.list,2022-12-10 06:59:49.038129
viewer.peer39.com,AVAILABILITY,origin.list,2022-12-10 06:59:49.051231
stir.semilo.com,AVAILABILITY,origin.list,2022-12-10 06:59:49.059030
server.siteamplifier.net,AVAILABILITY,origin.list,2022-12-10 06:59:49.769552
srv.bidvertiser.com,AVAILABILITY,origin.list,2022-12-10 06:59:49.813885
rotator.nbjmp.com,AVAILABILITY,origin.list,2022-12-10 06:59:50.043519
ads.bidvertiser.com,AVAILABILITY,origin.list,2022-12-10 06:59:50.338489
tiads.essence.com,AVAILABILITY,origin.list,2022-12-10 06:59:50.394320
aka.accortech.com,AVAILABILITY,origin.list,2022-12-10 06:59:50.647673
track.eyeviewads.com,AVAILABILITY,origin.list,2022-12-10 06:59:50.941113
ad.policeone.com,AVAILABILITY,origin.list,2022-12-10 06:59:51.099790
pix.silverpush.co,AVAILABILITY,origin.list,2022-12-10 06:59:51.246395
www.clickaction.net,AVAILABILITY,origin.list,2022-12-10 06:59:51.317834
askads.ask.com,AVAILABILITY,origin.list,2022-12-10 06:59:51.521111
promo.freshdirect.com,AVAILABILITY,origin.list,2022-12-10 06:59:51.693343
sg-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 06:59:51.872421
a.company-target.com,AVAILABILITY,origin.list,2022-12-10 06:59:52.054963
trg.peer39.net,AVAILABILITY,origin.list,2022-12-10 06:59:52.098232
ads.skinected.com,AVAILABILITY,origin.list,2022-12-10 06:59:52.266928
b.ensighten.com,AVAILABILITY,origin.list,2022-12-10 06:59:52.651001
r.yieldkit.com,AVAILABILITY,origin.list,2022-12-10 06:59:52.694342
pixel.realtor.com,AVAILABILITY,origin.list,2022-12-10 06:59:52.832617
www.sendori.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.249906
s.mobclix.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.321334
js.coinisrsdelivery.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.399746
sftp.clickability.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.581665
n.targetctracker.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.850490
ads.aws.viber.com,AVAILABILITY,origin.list,2022-12-10 06:59:53.964295
a.komoona.com,AVAILABILITY,origin.list,2022-12-10 06:59:54.105884
stage.traffiliate.com,AVAILABILITY,origin.list,2022-12-10 06:59:54.199125
ads.vkushti.tv,AVAILABILITY,origin.list,2022-12-10 06:59:54.479629
tap.rubiconproject.com,AVAILABILITY,origin.list,2022-12-10 06:59:54.575402
i.trkjmp.com,AVAILABILITY,origin.list,2022-12-10 06:59:54.717636
data.apn.co.nz,AVAILABILITY,origin.list,2022-12-10 06:59:54.785474
c.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 06:59:54.793285
i.n.jwpltx.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.092901
go.goroost.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.206550
www.mftracking.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.334686
rudy.adsnative.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.446659
dckappa.widespace.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.781676
vid-io.springserve.net,AVAILABILITY,origin.list,2022-12-10 06:59:55.865942
t.acxiom-online.com,AVAILABILITY,origin.list,2022-12-10 06:59:55.991142
ssp.anyclip-media.com,AVAILABILITY,origin.list,2022-12-10 06:59:56.335244
ads.deliverimp.com,AVAILABILITY,origin.list,2022-12-10 06:59:56.566003
static.adtaily.com,AVAILABILITY,origin.list,2022-12-10 06:59:56.720808
adflash.affairsclub.com,AVAILABILITY,origin.list,2022-12-10 06:59:56.721557
dc.widespace.com,AVAILABILITY,origin.list,2022-12-10 06:59:56.938824
tap-secure.rubiconproject.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.120859
static.proximic.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.313766
iau.adsiduous.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.343832
by.optimost.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.505285
www.hotdogsandads.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.524039
cache.btrll.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.681515
secure.adwebster.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.921533
cdn.adquantix.com,AVAILABILITY,origin.list,2022-12-10 06:59:57.961388
cdn.qbaka.net,AVAILABILITY,origin.list,2022-12-10 06:59:58.167295
beacon.tunecore.com,AVAILABILITY,origin.list,2022-12-10 06:59:58.190062
data.mobclix.com,AVAILABILITY,origin.list,2022-12-10 06:59:58.494388
d.lumatag.co.uk,AVAILABILITY,origin.list,2022-12-10 06:59:58.504672
hiq.fotolog.com,AVAILABILITY,origin.list,2022-12-10 06:59:58.783014
ads.matiro.com,AVAILABILITY,origin.list,2022-12-10 06:59:58.844482
track.leadin.com,AVAILABILITY,origin.list,2022-12-10 06:59:58.922180
ads.networkhm.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.051394
adnet.affinity.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.384135
geo.widdit.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.577527
api.nrelate.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.797739
pixel.captora.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.816270
ads.bnmedia.com,AVAILABILITY,origin.list,2022-12-10 06:59:59.939893
adserver.fixionmedia.com,AVAILABILITY,origin.list,2022-12-10 07:00:00.153192
wp1.cor-natty.com,AVAILABILITY,origin.list,2022-12-10 07:00:00.549413
media2.netrefer.com,AVAILABILITY,origin.list,2022-12-10 07:00:00.626972
t.nrelate.com,AVAILABILITY,origin.list,2022-12-10 07:00:00.955720
analytics.hgcdn.net,AVAILABILITY,origin.list,2022-12-10 07:00:01.490021
www.wtp101.com,AVAILABILITY,origin.list,2022-12-10 07:00:01.499593
ads.asredas.com,AVAILABILITY,origin.list,2022-12-10 07:00:01.568972
ad.trident.net,AVAILABILITY,origin.list,2022-12-10 07:00:02.290662
webstats.oanda.com,AVAILABILITY,origin.list,2022-12-10 07:00:02.334255
rmedia.adonnetwork.com,AVAILABILITY,origin.list,2022-12-10 07:00:02.404615
www.loggerx.com,AVAILABILITY,origin.list,2022-12-10 07:00:03.046204
adv.0tub.com,AVAILABILITY,origin.list,2022-12-10 07:00:03.056234
mmm.vindy.com,AVAILABILITY,origin.list,2022-12-10 07:00:03.083265
landingpages.sunnytoolz.com,AVAILABILITY,origin.list,2022-12-10 07:00:03.795179
cdn1.skinected.com,AVAILABILITY,origin.list,2022-12-10 07:00:03.852870
a.rvttrack.com,AVAILABILITY,origin.list,2022-12-10 07:00:04.249191
cv.bsvideos.com,AVAILABILITY,origin.list,2022-12-10 07:00:04.452496
ads.groupcommerce.com,AVAILABILITY,origin.list,2022-12-10 07:00:04.748991
rtb.metrigo.com,AVAILABILITY,origin.list,2022-12-10 07:00:04.822123
results.cafefind.net,AVAILABILITY,origin.list,2022-12-10 07:00:05.041570
www.tostadomedia.com,AVAILABILITY,origin.list,2022-12-10 07:00:05.395415
ad.traffique.net,AVAILABILITY,origin.list,2022-12-10 07:00:05.437413
ads.sxx.com,AVAILABILITY,origin.list,2022-12-10 07:00:05.651636
hits.nextstat.com,AVAILABILITY,origin.list,2022-12-10 07:00:06.225256
www.sextronix.com,AVAILABILITY,origin.list,2022-12-10 07:00:06.306418
support.sextronix.com,AVAILABILITY,origin.list,2022-12-10 07:00:06.355025
us-sonar.sociomantic.com,AVAILABILITY,origin.list,2022-12-10 07:00:06.897954
adbetnet.advertserve.com,AVAILABILITY,origin.list,2022-12-10 07:00:06.954508
ads.pubsqrd.com,AVAILABILITY,origin.list,2022-12-10 07:00:07.175347
eu-sonar.sociomantic.com,AVAILABILITY,origin.list,2022-12-10 07:00:07.503112
dce.nextstat.com,AVAILABILITY,origin.list,2022-12-10 07:00:07.511212
spads.yamx.com,AVAILABILITY,origin.list,2022-12-10 07:00:07.755495
m.usersonline.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.108449
sonar.sociomantic.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.162458
xblasterads1.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.340023
keisu02.eproof.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.750465
p.ebdr2.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.823544
ad.db3nf.com,AVAILABILITY,origin.list,2022-12-10 07:00:08.975941
static.exosrv.com,AVAILABILITY,origin.list,2022-12-10 07:00:09.372234
ads.affbuzzads.com,AVAILABILITY,origin.list,2022-12-10 07:00:09.476275
ads.artsopolis.com,AVAILABILITY,origin.list,2022-12-10 07:00:09.606559
feeds.wise-click.com,AVAILABILITY,origin.list,2022-12-10 07:00:10.070134
plus.link4link.com,AVAILABILITY,origin.list,2022-12-10 07:00:10.312691
pixel.adadvisor.net,AVAILABILITY,origin.list,2022-12-10 07:00:10.628850
dft.cl.dynad.net,AVAILABILITY,origin.list,2022-12-10 07:00:10.799102
content.ipro.com,AVAILABILITY,origin.list,2022-12-10 07:00:10.937494
tealium.hs.llnwd.net,AVAILABILITY,origin.list,2022-12-10 07:00:11.222160
vktr073.net,AVAILABILITY,origin.list,2022-12-10 07:00:11.526556
click.cheapstuff.com,AVAILABILITY,origin.list,2022-12-10 07:00:11.626994
ads.ad4max.com,AVAILABILITY,origin.list,2022-12-10 07:00:11.776938
e-ads.eqads.com,AVAILABILITY,origin.list,2022-12-10 07:00:12.182643
track.make-a-site.net,AVAILABILITY,origin.list,2022-12-10 07:00:12.324315
feed.peakclick.com,AVAILABILITY,origin.list,2022-12-10 07:00:12.365992
secure6.platinumbucks.com,AVAILABILITY,origin.list,2022-12-10 07:00:12.905137
tracking.bannerflow.com,AVAILABILITY,origin.list,2022-12-10 07:00:12.988270
tap-cdn.rubiconproject.com,AVAILABILITY,origin.list,2022-12-10 07:00:13.531836
widget.crowdignite.com,AVAILABILITY,origin.list,2022-12-10 07:00:13.555107
ads.eqads.com,AVAILABILITY,origin.list,2022-12-10 07:00:14.181484
ads2.vasmg.com,AVAILABILITY,origin.list,2022-12-10 07:00:14.342622
ads.xxxbunker.com,AVAILABILITY,origin.list,2022-12-10 07:00:14.772357
img.linkstorm.net,AVAILABILITY,origin.list,2022-12-10 07:00:14.905600
traffic.buyservices.com,AVAILABILITY,origin.list,2022-12-10 07:00:15.261404
ds.eyeblaster.com,AVAILABILITY,origin.list,2022-12-10 07:00:15.352838
ads.drugs.com,AVAILABILITY,origin.list,2022-12-10 07:00:15.503683
metrics.boston.com,AVAILABILITY,origin.list,2022-12-10 07:00:15.849125
stats.ft.com,AVAILABILITY,origin.list,2022-12-10 07:00:15.955867
stats2.luckymag.com,AVAILABILITY,origin.list,2022-12-10 07:00:16.091719
a.macuser.co.uk,AVAILABILITY,origin.list,2022-12-10 07:00:16.436880
www.popadvert.com,AVAILABILITY,origin.list,2022-12-10 07:00:16.536740
pixel.parsely.com,AVAILABILITY,origin.list,2022-12-10 07:00:16.549135
metrics.homebase.co.uk,AVAILABILITY,origin.list,2022-12-10 07:00:16.667189
tour.affbuzzads.com,AVAILABILITY,origin.list,2022-12-10 07:00:17.056848
srv2.admedit.me,AVAILABILITY,origin.list,2022-12-10 07:00:17.256905
ads.freecaster.tv,AVAILABILITY,origin.list,2022-12-10 07:00:17.296323
adds.misiamoiatdom.com,AVAILABILITY,origin.list,2022-12-10 07:00:17.567569
ads.vimg.net,AVAILABILITY,origin.list,2022-12-10 07:00:17.658165
interyield.jmp9.com,AVAILABILITY,origin.list,2022-12-10 07:00:17.913120
data.cpalead.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.151793
px.splittag.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.265902
stat.ganbox.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.320746
adv.elaana.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.557522
ads.referlocal.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.721472
api.adsnative.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.869492
adv.freepornvs.com,AVAILABILITY,origin.list,2022-12-10 07:00:18.962662
wateristian.com,AVAILABILITY,origin.list,2022-12-10 07:00:19.145521
service.multi-pops.com,AVAILABILITY,origin.list,2022-12-10 07:00:19.294892
www.terrapops.com,AVAILABILITY,origin.list,2022-12-10 07:00:19.532543
a.thoughtleadr.com,AVAILABILITY,origin.list,2022-12-10 07:00:19.865477
w.ahalogy.com,AVAILABILITY,origin.list,2022-12-10 07:00:19.868849
ads.blogdrive.com,AVAILABILITY,origin.list,2022-12-10 07:00:20.172246
th-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:20.451414
ads.socialreach.com,AVAILABILITY,origin.list,2022-12-10 07:00:20.474728
pk-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:20.729368
counter.fateback.com,AVAILABILITY,origin.list,2022-12-10 07:00:20.761989
counters.honesty.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.031481
adserver.lonuncavisto.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.078846
tracker.gtarcade.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.340699
cgi.honesty.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.662743
ads.globo.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.668671
piwik.mortgageloan.com,AVAILABILITY,origin.list,2022-12-10 07:00:21.934484
www18.officedepot.com,AVAILABILITY,origin.list,2022-12-10 07:00:22.719553
ads.netrition.com,AVAILABILITY,origin.list,2022-12-10 07:00:22.726209
www.sitestatslive.com,AVAILABILITY,origin.list,2022-12-10 07:00:22.770655
eon.tags.sitetagger.co.uk,AVAILABILITY,origin.list,2022-12-10 07:00:23.449241
ad.sensismediasmart.com.au,AVAILABILITY,origin.list,2022-12-10 07:00:23.458423
counter.sexsuche.tv,AVAILABILITY,origin.list,2022-12-10 07:00:23.724321
ads.img.globo.com,AVAILABILITY,origin.list,2022-12-10 07:00:23.818746
www.sitetagger.co.uk,AVAILABILITY,origin.list,2022-12-10 07:00:24.087630
pei-ads.thesmokingjacket.com,AVAILABILITY,origin.list,2022-12-10 07:00:24.305534
r.4at1.com,AVAILABILITY,origin.list,2022-12-10 07:00:24.478215
widget.quantcast.com,AVAILABILITY,origin.list,2022-12-10 07:00:24.924850
n4p.ua.redtram.com,AVAILABILITY,origin.list,2022-12-10 07:00:25.067086
stack9.collect.igodigital.com,AVAILABILITY,origin.list,2022-12-10 07:00:25.078114
media2.travelzoo.com,AVAILABILITY,origin.list,2022-12-10 07:00:25.647787
stack7.collect.igodigital.com,AVAILABILITY,origin.list,2022-12-10 07:00:25.681646
m.servebom.com,AVAILABILITY,origin.list,2022-12-10 07:00:25.716585
ads.ad-center.com,AVAILABILITY,origin.list,2022-12-10 07:00:26.365867
3459571470.log.optimizely.com,AVAILABILITY,origin.list,2022-12-10 07:00:26.379057
track.written.com,AVAILABILITY,origin.list,2022-12-10 07:00:26.413688
za-ssl.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:27.062611
my-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:27.084427
match.rundsp.com,AVAILABILITY,origin.list,2022-12-10 07:00:27.713323
counter.spylog.com,AVAILABILITY,origin.list,2022-12-10 07:00:28.115971
www.silveragesoftware.com,AVAILABILITY,origin.list,2022-12-10 07:00:28.672453
hits.epochstats.com,AVAILABILITY,origin.list,2022-12-10 07:00:28.691387
api.content-ad.net,AVAILABILITY,origin.list,2022-12-10 07:00:29.224998
d1piupybsgr6dr.cloudfront.net,AVAILABILITY,origin.list,2022-12-10 07:00:29.799289
ads1.nexdra.com,AVAILABILITY,origin.list,2022-12-10 07:00:30.025446
me-ssl.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:30.359081
www.adbooth.com,AVAILABILITY,origin.list,2022-12-10 07:00:30.610106
nz-ssl.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:30.895169
ads.ghettotube.com,AVAILABILITY,origin.list,2022-12-10 07:00:31.282667
us-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:31.434362
id-cdn.effectivemeasure.net,AVAILABILITY,origin.list,2022-12-10 07:00:31.970475
