subject,idna_subject,expiration_date,epoch,registrar
00fun.com,00fun.com,05-aug-2021,1628121600.0,
00fun.com,00fun.com,05-aug-2021,1628121600.0,
100webads.com,100webads.com,03-sep-2022,1662163200.0,
100webads.com,100webads.com,03-sep-2022,1662163200.0,
11zz.com,11zz.com,18-jun-2021,1623974400.0,
11zz.com,11zz.com,18-jun-2021,1623974400.0,
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0,
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0,
123count.com,123count.com,09-dec-2021,1639008000.0,
123count.com,123count.com,09-dec-2021,1639008000.0,
123go.com,123go.com,10-oct-2021,1633824000.0,
123go.com,123go.com,10-oct-2021,1633824000.0,
123stat.com,123stat.com,19-aug-2024,1724025600.0,
123stat.com,123stat.com,19-aug-2024,1724025600.0,
1bg.net,1bg.net,21-mar-2021,1616284800.0,
1bg.net,1bg.net,21-mar-2021,1616284800.0,
1empiredirect.com,1empiredirect.com,11-nov-2021,1636588800.0,
1empiredirect.com,1empiredirect.com,11-nov-2021,1636588800.0,
1phads.com,1phads.com,12-feb-2021,1613088000.0,
1phads.com,1phads.com,12-feb-2021,1613088000.0,
2001positions.com,2001positions.com,03-mar-2021,1614729600.0,
2001positions.com,2001positions.com,03-mar-2021,1614729600.0,
24counter.com,24counter.com,30-jun-2022,1656547200.0,
24counter.com,24counter.com,30-jun-2022,1656547200.0,
3animalsex.com,3animalsex.com,02-feb-2021,1612224000.0,
3animalsex.com,3animalsex.com,02-feb-2021,1612224000.0,
3xtraffic.com,3xtraffic.com,19-apr-2021,1618790400.0,
3xtraffic.com,3xtraffic.com,19-apr-2021,1618790400.0,
4ur.click,4ur.click,04-mar-2022,1646352000.0,
4ur.click,4ur.click,04-mar-2022,1646352000.0,
6e2f1d2ae033.com,6e2f1d2ae033.com,03-oct-2021,1633219200.0,
6e2f1d2ae033.com,6e2f1d2ae033.com,03-oct-2021,1633219200.0,
7search.com,7search.com,25-may-2021,1621900800.0,
7search.com,7search.com,25-may-2021,1621900800.0,
abcstats.com,abcstats.com,01-dec-2021,1638316800.0,
abcstats.com,abcstats.com,01-dec-2021,1638316800.0,
aboutwebservices.com,aboutwebservices.com,25-jul-2021,1627171200.0,
aboutwebservices.com,aboutwebservices.com,25-jul-2021,1627171200.0,
aclickads.com,aclickads.com,09-jun-2021,1623196800.0,
aclickads.com,aclickads.com,09-jun-2021,1623196800.0,
actvtrack.com,actvtrack.com,06-sep-2021,1630886400.0,
actvtrack.com,actvtrack.com,06-sep-2021,1630886400.0,
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0,
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0,
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0,
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0,
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0,
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0,
ad2games.com,ad2games.com,26-jun-2021,1624665600.0,
ad2games.com,ad2games.com,26-jun-2021,1624665600.0,
adadvisor.net,adadvisor.net,08-apr-2022,1649376000.0,
adadvisor.net,adadvisor.net,08-apr-2022,1649376000.0,
adboost.ro,adboost.ro,05-jun-2021,1622851200.0,
adboost.ro,adboost.ro,05-jun-2021,1622851200.0,
adbuka.com,adbuka.com,31-jan-2021,1612051200.0,
adbuka.com,adbuka.com,31-jan-2021,1612051200.0,
adc-serv.net,adc-serv.net,02-jun-2021,1622592000.0,
adc-serv.net,adc-serv.net,02-jun-2021,1622592000.0,
adchimp.com,adchimp.com,09-feb-2021,1612828800.0,
